id,gold_solver,predicted_solver,oneshot_solver,pipeline_match,oneshot_match,text,prompt_tokens,completion_tokens,total_tokens
logdeduc_17,CSP,CSP,CSP,True,True,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are five birds: a quail, an owl, a raven, a falcon, and a robin. The owl is the leftmost. The robin is to the left of the raven. The quail is the rightmost. The raven is the third from the left.
Options:
(A) The quail is the second from the right
(B) The owl is the second from the right
(C) The raven is the second from the right
(D) The falcon is the second from the right
(E) The robin is the second from the right",1474,743,2217
logdeduc_15,CSP,CSP,CSP,True,True,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are five books: a yellow book, a gray book, a red book, a black book, and a white book. The gray book is to the left of the yellow book. The white book is to the left of the red book. The black book is to the right of the red book. The black book is to the left of the gray book.
Options:
(A) The yellow book is the rightmost
(B) The gray book is the rightmost
(C) The red book is the rightmost
(D) The black book is the rightmost
(E) The white book is the rightmost",1494,559,2053
folio_18,FOL,FOL,FOL,True,True,"All rabbits that can be spotted near the campus are cute. 
Some turtles can be spotted near the campus. 
The only animals that can be spotted near the campus are rabbits and squirrels.
If something is skittish, then it is not calm.
All the squirrels that can be spotted near the campus are skittish.
Rockie can be spotted near the campus, and it is calm.
Conclusion: Rockie is a turtle or cute.",1364,638,2002
proofwriter_15,LP,LP,SAT,True,False," 
 Fiona is kind.",1194,997,2191
proofwriter_9,LP,LP,SAT,True,False," 
 Bob is round.",1194,616,1810
arlsat_14,SAT,CSP,CSP,False,False,"The eight partners of a law firm are Gregg, Hodges, Ivan, James, King, MacNeil, Nader, and Owens. In each of the years 1961 through 1968, exactly one of the partners joined the firm. Hodges joined the firm before Nader. King joined the firm before James. Nader and James joined the firm before Gregg. Nader joined the firm before Owens. James joined the firm before MacNeil. Gregg joined the firm before Ivan.
If James joined the firm in 1962, which one of the following CANNOT be true?
",1422,569,1991
folio_1,FOL,FOL,FOL,True,True,"People in this club who perform in school talent shows often attend and are very engaged with school events.
People in this club either perform in school talent shows often or are inactive and disinterested community members.
People in this club who chaperone high school dances are not students who attend the school.
All people in this club who are inactive and disinterested members of their community chaperone high school dances.
All young children and teenagers in this club who wish to further their academic careers and educational opportunities are students who attend the school. 
Bonnie is in this club and she either both attends and is very engaged with school events and is a student who attends the school or is not someone who both attends and is very engaged with school events and is not a student who attends the school.
Conclusion: If Bonnie is either both a young child or teenager who wishes to further her academic career and educational opportunities and chaperones high school dances or neither is a young child nor teenager who wishes to further her academic career and educational opportunities, then Bonnie is either a student who attends the school or is an inactive and disinterested member of the community.",1644,595,2239
folio_4,FOL,LP,FOL,False,True,"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.
Conclusion: James does not have lunch in the company.",1400,796,2196
arlsat_18,SAT,CSP,CSP,False,False,"A railway company has exactly three lines: line 1, line 2, and line 3. The company prints three sets of tickets for January and three sets of tickets for February: one set for each of its lines for each of the two months. The company's tickets are printed in a manner consistent with the following conditions: Each of the six sets of tickets is exactly one of the following colors: green, purple, red, yellow. For each line, the January tickets are a different color than the February tickets. For each month, tickets for different lines are in different colors. Exactly one set of January tickets is red. For line 3, either the January tickets or the February tickets, but not both, are green. The January tickets for line 2 are purple. No February tickets are purple.
If the line 3 tickets for January are red, then which one of the following statements must be true?
",1556,527,2083
logdeduc_18,CSP,CSP,CSP,True,True,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were five golfers: Mel, Dan, Amy, Joe, and Eve. Amy finished below Dan. Mel finished first. Joe finished above Dan. Eve finished last.
Options:
(A) Mel finished first
(B) Dan finished first
(C) Amy finished first
(D) Joe finished first
(E) Eve finished first",1376,548,1924
folio_0,FOL,FOL,FOL,True,True,"People in this club who perform in school talent shows often attend and are very engaged with school events.
People in this club either perform in school talent shows often or are inactive and disinterested community members.
People in this club who chaperone high school dances are not students who attend the school.
All people in this club who are inactive and disinterested members of their community chaperone high school dances.
All young children and teenagers in this club who wish to further their academic careers and educational opportunities are students who attend the school. 
Bonnie is in this club and she either both attends and is very engaged with school events and is a student who attends the school or is not someone who both attends and is very engaged with school events and is not a student who attends the school.
Conclusion: Bonnie performs in school talent shows often.",1522,957,2479
folio_12,FOL,LP,FOL,False,True,"A Japanese game company created the game the Legend of Zelda.
All games on the Top 10 list are made by Japanese game companies.
If a game sells more than one million copies, then it will be included in the Top 10 list.
The Legend of Zelda sold more than one million copies.
Conclusion: The Legend of Zelda is on the Top 10 list.",1332,900,2232
logdeduc_4,CSP,CSP,CSP,True,True,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are five books: a green book, an orange book, a gray book, a yellow book, and a purple book. The green book is the rightmost. The gray book is to the right of the orange book. The purple book is to the left of the yellow book. The purple book is to the right of the gray book.
Options:
(A) The green book is the second from the right
(B) The orange book is the second from the right
(C) The gray book is the second from the right
(D) The yellow book is the second from the right
(E) The purple book is the second from the right",1506,521,2027
logdeduc_16,CSP,CSP,CSP,True,True,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are five vehicles: a hatchback, a convertible, a tractor, a truck, and a limousine. The tractor is newer than the hatchback. The limousine is the second-newest. The truck is older than the hatchback. The convertible is the second-oldest.
Options:
(A) The hatchback is the second-oldest
(B) The convertible is the second-oldest
(C) The tractor is the second-oldest
(D) The truck is the second-oldest
(E) The limousine is the second-oldest",1464,638,2102
arlsat_17,SAT,CSP,CSP,False,False,"The eight partners of a law firm are Gregg, Hodges, Ivan, James, King, MacNeil, Nader, and Owens. In each of the years 1961 through 1968, exactly one of the partners joined the firm. Hodges joined the firm before Nader. King joined the firm before James. Nader and James joined the firm before Gregg. Nader joined the firm before Owens. James joined the firm before MacNeil. Gregg joined the firm before Ivan.
Assume that Owens joined the law firm before MacNeil. Of the following, which one is the earliest year in which MacNeil could have joined it?
",1444,568,2012
arlsat_3,SAT,CSP,CSP,False,False,"Exactly six trade representatives negotiate a treaty: Klosnik, Londi, Manley, Neri, Osata, Poirier. There are exactly six chairs evenly spaced around a circular table. The chairs are numbered 1 through 6, with successively numbered chairs next to each other and chair number 1 next to chair number 6. Each chair is occupied by exactly one of the representatives. The following conditions apply: Poirier sits immediately next to Neri. Londi sits immediately next to Manley, Neri, or both. Klosnik does not sit immediately next to Manley. If Osata sits immediately next to Poirier, Osata does not sit immediately next to Manley.
If Neri sits immediately next to Manley, then Klosnik can sit directly between
",1514,559,2073
proofwriter_4,LP,LP,SAT,True,False," 
 Gary is not green.",1196,514,1710
